dates,events
13/02/2013,3
15/02/2013,3
26/02/2013,3
20/03/2013,3
27/03/2013,3
03/04/2013,3
05/04/2013,3
12/04/2013,3
24/04/2013,3
30/04/2013,3
07/05/2013,3
17/05/2013,3
24/05/2013,3
27/05/2013,3
28/05/2013,3
07/06/2013,3
10/06/2013,3
27/06/2013,3
11/07/2013,3
22/07/2013,3
23/07/2013,3
09/08/2013,3
14/08/2013,3
17/09/2013,3
19/09/2013,3
24/09/2013,3
30/09/2013,3
22/10/2013,3
18/11/2013,3
19/11/2013,3
25/11/2013,3
02/01/2014,3
06/01/2014,3
08/01/2014,3
10/01/2014,3
28/01/2014,3
30/01/2014,3
25/02/2014,3
03/03/2014,3
05/03/2014,3
08/04/2014,3
29/04/2014,3
19/05/2014,3
22/05/2014,3
06/06/2014,3
01/07/2014,3
01/08/2014,3
04/08/2014,3
10/09/2014,3
22/09/2014,3
24/10/2014,3
04/10/2010,2
11/10/2010,2
28/10/2010,2
29/10/2010,2
15/11/2010,2
19/11/2010,2
22/11/2010,2
24/11/2010,2
26/11/2010,2
29/11/2010,2
30/11/2010,2
02/12/2010,2
09/12/2010,2
13/12/2010,2
15/12/2010,2
17/12/2010,2
20/12/2010,2
13/01/2011,2
14/01/2011,2
21/01/2011,2
28/01/2011,2
07/02/2011,2
08/02/2011,2
03/03/2011,2
04/03/2011,2
21/03/2011,2
24/03/2011,2
08/04/2011,2
19/04/2011,2
27/04/2011,2
29/04/2011,2
09/05/2011,2
17/05/2011,2
25/05/2011,2
07/06/2011,2
15/06/2011,2
21/06/2011,2
28/06/2011,2
29/06/2011,2
01/07/2011,2
20/07/2011,2
27/07/2011,2
29/07/2011,2
08/08/2011,2
09/08/2011,2
31/08/2011,2
01/09/2011,2
07/09/2011,2
11/09/2011,2
19/09/2011,2
23/09/2011,2
26/09/2011,2
11/10/2011,2
18/10/2011,2
24/10/2011,2
26/10/2011,2
27/10/2011,2
02/11/2011,2
04/11/2011,2
08/11/2011,2
16/11/2011,2
17/11/2011,2
19/11/2011,2
21/11/2011,2
28/11/2011,2
01/12/2011,2
09/12/2011,2
13/12/2011,2
28/12/2011,2
11/01/2012,2
18/01/2012,2
25/01/2012,2
08/02/2012,2
09/02/2012,2
15/03/2012,2
18/03/2012,2
28/03/2012,2
20/04/2012,2
25/04/2012,2
26/04/2012,2
02/05/2012,2
11/05/2012,2
14/05/2012,2
15/05/2012,2
03/06/2012,2
05/06/2012,2
08/06/2012,2
21/06/2012,2
26/06/2012,2
28/06/2012,2
29/06/2012,2
06/07/2012,2
09/07/2012,2
14/08/2012,2
28/08/2012,2
08/09/2012,2
14/09/2012,2
26/09/2012,2
29/09/2012,2
02/10/2012,2
25/10/2012,2
26/10/2012,2
14/11/2012,2
23/11/2012,2
27/11/2012,2
04/12/2012,2
10/12/2012,2
18/12/2012,2
20/12/2012,2
08/01/2013,2
10/01/2013,2
24/01/2013,2
31/01/2013,2
04/02/2013,2
07/02/2013,2
08/02/2013,2
14/02/2013,2
27/02/2013,2
07/03/2013,2
12/03/2013,2
13/03/2013,2
19/03/2013,2
25/03/2013,2
28/03/2013,2
11/04/2013,2
15/04/2013,2
16/04/2013,2
19/04/2013,2
25/04/2013,2
01/06/2013,2
02/06/2013,2
13/06/2013,2
17/06/2013,2
25/06/2013,2
26/07/2013,2
29/07/2013,2
07/08/2013,2
18/08/2013,2
22/08/2013,2
02/09/2013,2
06/09/2013,2
10/09/2013,2
16/09/2013,2
04/10/2013,2
14/10/2013,2
16/10/2013,2
17/10/2013,2
31/10/2013,2
20/11/2013,2
29/11/2013,2
02/12/2013,2
05/12/2013,2
19/12/2013,2
24/12/2013,2
03/01/2014,2
07/01/2014,2
17/01/2014,2
23/01/2014,2
29/01/2014,2
31/01/2014,2
06/02/2014,2
10/02/2014,2
11/02/2014,2
13/02/2014,2
20/02/2014,2
21/02/2014,2
26/02/2014,2
04/03/2014,2
12/03/2014,2
17/03/2014,2
31/03/2014,2
07/04/2014,2
22/04/2014,2
23/04/2014,2
30/04/2014,2
06/05/2014,2
12/05/2014,2
15/05/2014,2
16/05/2014,2
28/05/2014,2
02/06/2014,2
20/06/2014,2
07/07/2014,2
08/07/2014,2
10/07/2014,2
11/07/2014,2
17/07/2014,2
02/09/2014,2
04/09/2014,2
19/09/2014,2
21/09/2014,2
25/09/2014,2
30/09/2014,2
09/10/2014,2
15/10/2014,2
16/10/2014,2
10/10/2010,1
26/10/2010,1
27/10/2010,1
04/11/2010,1
08/11/2010,1
10/11/2010,1
12/11/2010,1
16/11/2010,1
05/12/2010,1
06/12/2010,1
07/12/2010,1
08/12/2010,1
19/12/2010,1
21/12/2010,1
23/12/2010,1
29/12/2010,1
06/01/2011,1
11/01/2011,1
17/01/2011,1
24/01/2011,1
27/01/2011,1
09/02/2011,1
10/02/2011,1
16/02/2011,1
18/02/2011,1
22/02/2011,1
24/02/2011,1
25/02/2011,1
10/03/2011,1
14/03/2011,1
19/03/2011,1
20/03/2011,1
22/03/2011,1
31/03/2011,1
06/04/2011,1
07/04/2011,1
11/04/2011,1
13/04/2011,1
14/04/2011,1
22/04/2011,1
26/04/2011,1
01/05/2011,1
12/05/2011,1
13/05/2011,1
18/05/2011,1
19/05/2011,1
23/05/2011,1
30/05/2011,1
31/05/2011,1
02/06/2011,1
06/06/2011,1
20/06/2011,1
27/06/2011,1
30/06/2011,1
04/07/2011,1
07/07/2011,1
08/07/2011,1
25/07/2011,1
26/07/2011,1
28/07/2011,1
01/08/2011,1
02/08/2011,1
03/08/2011,1
04/08/2011,1
10/08/2011,1
18/08/2011,1
19/08/2011,1
23/08/2011,1
25/08/2011,1
26/08/2011,1
28/08/2011,1
14/09/2011,1
24/09/2011,1
29/09/2011,1
05/10/2011,1
07/10/2011,1
09/10/2011,1
10/10/2011,1
12/10/2011,1
15/10/2011,1
16/10/2011,1
21/10/2011,1
22/10/2011,1
31/10/2011,1
03/11/2011,1
07/11/2011,1
10/11/2011,1
20/11/2011,1
22/11/2011,1
23/11/2011,1
25/11/2011,1
03/12/2011,1
06/12/2011,1
12/12/2011,1
17/12/2011,1
20/12/2011,1
26/12/2011,1
05/01/2012,1
09/01/2012,1
10/01/2012,1
12/01/2012,1
19/01/2012,1
22/01/2012,1
23/01/2012,1
29/01/2012,1
01/02/2012,1
07/02/2012,1
10/02/2012,1
12/02/2012,1
16/02/2012,1
17/02/2012,1
22/02/2012,1
03/03/2012,1
05/03/2012,1
14/03/2012,1
19/03/2012,1
27/03/2012,1
29/03/2012,1
12/04/2012,1
13/04/2012,1
18/04/2012,1
21/04/2012,1
27/04/2012,1
16/05/2012,1
24/05/2012,1
25/05/2012,1
01/06/2012,1
19/06/2012,1
22/06/2012,1
10/07/2012,1
11/07/2012,1
23/07/2012,1
24/07/2012,1
03/08/2012,1
09/08/2012,1
20/08/2012,1
27/08/2012,1
07/09/2012,1
20/09/2012,1
22/09/2012,1
23/09/2012,1
28/09/2012,1
01/10/2012,1
09/10/2012,1
16/10/2012,1
18/10/2012,1
23/10/2012,1
24/10/2012,1
28/10/2012,1
31/10/2012,1
07/11/2012,1
08/11/2012,1
13/11/2012,1
15/11/2012,1
16/11/2012,1
22/11/2012,1
07/12/2012,1
14/12/2012,1
03/01/2013,1
17/01/2013,1
20/01/2013,1
23/01/2013,1
27/01/2013,1
12/02/2013,1
18/02/2013,1
05/03/2013,1
10/03/2013,1
17/03/2013,1
21/03/2013,1
23/03/2013,1
26/03/2013,1
07/04/2013,1
10/04/2013,1
14/04/2013,1
21/04/2013,1
05/05/2013,1
14/05/2013,1
15/05/2013,1
29/05/2013,1
31/05/2013,1
08/06/2013,1
16/06/2013,1
18/06/2013,1
19/06/2013,1
21/06/2013,1
28/06/2013,1
29/06/2013,1
30/06/2013,1
04/07/2013,1
05/07/2013,1
12/07/2013,1
17/07/2013,1
18/07/2013,1
08/08/2013,1
12/08/2013,1
21/08/2013,1
23/08/2013,1
30/08/2013,1
05/09/2013,1
23/09/2013,1
02/10/2013,1
10/10/2013,1
13/10/2013,1
23/10/2013,1
24/10/2013,1
30/10/2013,1
07/11/2013,1
12/11/2013,1
13/11/2013,1
21/11/2013,1
12/12/2013,1
16/12/2013,1
20/12/2013,1
23/12/2013,1
04/01/2014,1
13/01/2014,1
18/01/2014,1
21/01/2014,1
02/02/2014,1
04/02/2014,1
07/02/2014,1
14/02/2014,1
23/02/2014,1
27/02/2014,1
01/03/2014,1
06/03/2014,1
09/03/2014,1
13/03/2014,1
20/03/2014,1
25/03/2014,1
26/03/2014,1
09/04/2014,1
11/04/2014,1
13/04/2014,1
14/04/2014,1
15/04/2014,1
16/04/2014,1
18/04/2014,1
24/04/2014,1
27/04/2014,1
05/05/2014,1
07/05/2014,1
21/05/2014,1
23/05/2014,1
27/05/2014,1
03/06/2014,1
10/06/2014,1
11/06/2014,1
19/06/2014,1
24/06/2014,1
25/06/2014,1
03/07/2014,1
05/07/2014,1
16/07/2014,1
20/07/2014,1
23/07/2014,1
25/07/2014,1
28/07/2014,1
31/07/2014,1
02/08/2014,1
07/08/2014,1
21/08/2014,1
27/08/2014,1
03/09/2014,1
09/09/2014,1
11/09/2014,1
15/09/2014,1
18/09/2014,1
23/09/2014,1
26/09/2014,1
28/09/2014,1
08/10/2014,1
10/10/2014,1
12/10/2014,1
14/10/2014,1
17/10/2014,1
22/10/2014,1
23/10/2014,1
28/10/2014,1
,
,
,
